Signal Type,Msg,Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
BCI,msg,28906.450928365,-187500.02235174447,-187500.02235174447,-159625.74298688688,-141951.88336990876,-147169.94281648909,-147172.0885839568,-144945.13958038564,-122074.09704614844
BCI,msg,28906.45496533,-187500.02235174447,-187500.02235174447,-159747.2917732348,-142109.8431479744,-147354.65763266775,-147275.57716078486,-145010.78665385087,-122126.75775608514
BCI,msg,28906.459026014,-187500.02235174447,-187500.02235174447,-159878.67532714314,-142262.63967307087,-147543.90985297083,-147372.96371137665,-145060.20636084158,-122202.55252153309
BCI,msg,28906.463094815,-187500.02235174447,-187500.02235174447,-159803.32759658428,-142160.7604218436,-147427.23374691413,-147303.60624833184,-145011.97129630702,-122171.79652116259
BCI,msg,28906.467953904,-187500.02235174447,-187500.02235174447,-159642.01505685033,-141968.8706956948,-147192.36161617778,-147180.738709061,-144947.55356878683,-122085.13880790936
BCI,msg,28906.472009237,-187500.02235174447,-187500.02235174447,-159717.09456647572,-142072.3816242673,-147311.04937923545,-147248.8444744163,-144993.8663832982,-122109.61396808791
BCI,msg,28906.476011299,-187500.02235174447,-187500.02235174447,-159875.85900734176,-142260.71742304772,-147542.7699140036,-147368.67217644124,-145056.87595091772,-122196.67401274134
BCI,msg,28906.479033061,-187500.02235174447,-187500.02235174447,-159838.30807665683,-142204.77100667608,-147482.44255571874,-147328.8860713108,-145025.53880519138,-122187.82272193703
BCI,msg,28906.483045347,-187500.02235174447,-187500.02235174447,-159670.42412405304,-142001.39248387725,-147235.9028143767,-147197.72603484703,-144954.61672003468,-122103.2660726626
BCI,msg,28906.487030853,-187500.02235174447,-187500.02235174447,-159697.46973484394,-142046.9900425661,-147282.50620156602,-147230.38193349625,-144984.43394713808,-122104.09308720745
BCI,msg,28906.491164024,-187500.02235174447,-187500.02235174447,-159869.19818749407,-142254.14601017785,-147535.2820796111,-147361.74313566007,-145054.61842472773,-122193.09773362849
BCI,msg,28906.495996858,-187500.02235174447,-187500.02235174447,-159863.34203044677,-142237.7174780032,-147522.09455038246,-147347.43801920867,-145036.8264361413,-122199.78090522063
BCI,msg,28906.500097257,-187500.02235174447,-187500.02235174447,-159699.28022614482,-142035.4341906827,-147277.34294859684,-147217.23910775653,-144964.38443236166,-122120.94630252676
BCI,msg,28906.503304466,-187500.02235174447,-187500.02235174447,-159672.92751943204,-142016.30109742895,-147244.32942203636,-147208.83485184133,-144971.93932198756,-122095.04063070305
BCI,msg,28906.507141276,-187500.02235174447,-187500.02235174447,-159849.17102446212,-142231.79426572256,-147504.52607924058,-147346.70041164165,-145048.494046747,-122182.88298641241
BCI,msg,28906.511162901,-187500.02235174447,-187500.02235174447,-159882.1398475337,-142262.46085911524,-147547.41907685032,-147364.15712406125,-145049.61163396976,-122210.42033558135
BCI,msg,28906.517224387,-187500.02235174447,-187500.02235174447,-159730.28209570434,-142072.49338298957,-147320.43711190668,-147240.03788710095,-144976.38731913417,-122139.07356728001
BCI,msg,28906.519254313,-187500.02235174447,-187500.02235174447,-159655.73902794588,-141993.63642855125,-147216.34503797832,-147193.1886307226,-144961.92574047158,-122090.45852308972
BCI,msg,28906.526869338,-187500.02235174447,-187500.02235174447,-159821.723082271,-142199.85362289593,-147464.09177352092,-147325.28744045348,-145037.09465707478,-122168.75668391665
BCI,msg,28906.528213221,-187500.02235174447,-187500.02235174447,-159889.2924057594,-142273.59202785397,-147559.84664676746,-147369.74506017508,-145052.91969214912,-122212.0967164155
BCI,msg,28906.531185652,-187500.02235174447,-187500.02235174447,-159764.92729961008,-142113.86646197634,-147370.81794390894,-147265.34006182433,-144989.4183861516,-122157.78197738911
BCI,msg,28906.535063851,-187500.02235174447,-187500.02235174447,-159649.05585635375,-141982.48290806805,-147204.47626167253,-147184.20322945158,-144953.83440897876,-122089.9667847117
BCI,msg,28906.542386476,-187500.02235174447,-187500.02235174447,-159792.68816622355,-142164.2472939786,-147419.41063635476,-147302.60041983135,-145025.31528774684,-122154.65273316536
BCI,msg,28906.54310113,-187500.02235174447,-187500.02235174447,-159896.62377794072,-142282.9797605252,-147567.64740558236,-147377.54581898998,-145060.85456143078,-122217.19291415131
BCI,msg,28906.547081614,-187500.02235174447,-187500.02235174447,-159798.43256454857,-142154.6583956073,-147417.37662760934,-147291.87158249278,-145005.46693867052,-122176.66920145384
BCI,msg,28906.551101134,-187500.02235174447,-187500.02235174447,-159652.54272848877,-141984.1145854133,-147204.87859307273,-147184.7843748074,-144953.72265025647,-122097.29815689304
BCI,msg,28906.55611093,-187500.02235174447,-187500.02235174447,-159759.5628809408,-142123.9470987257,-147366.52640897353,-147277.45470731912,-145013.60297365225,-122140.63818939189
BCI,msg,28906.560269232,-187500.02235174447,-187500.02235174447,-159892.10872556077,-142279.33642617898,-147558.77376303362,-147375.42240326674,-145061.90509342018,-122214.8012774946
